# meep=1.28.0 res=30.0 cols=wavelength_um,R,T
3.333333333333333037e+00,1.130120521193519051e-01,8.940799104522483276e-01
3.237704918032786594e+00,3.155096568677108748e-01,5.884254329272929906e-01
3.147410358565736921e+00,5.606177149262402404e-01,5.004798152423556301e-01
3.062015503875968658e+00,5.523013436191800407e-01,4.846377091263647241e-01
2.981132075471697895e+00,4.489397552148497450e-01,4.958552731727924323e-01
2.904411764705881804e+00,3.349771977604831252e-01,6.635546749931280353e-01
2.831541218637992241e+00,7.121709909799001093e-02,9.563337767981699988e-01
2.762237762237762073e+00,6.570543521304302026e-02,9.485095680540470697e-01
2.696245733788395604e+00,3.801696242862037112e-01,6.237676025827271209e-01
2.633333333333333304e+00,5.551341260436642999e-01,4.289530568819664991e-01
2.573289902280130104e+00,6.300131309568145488e-01,3.706748909947171211e-01
2.515923566878980999e+00,6.145891920696922028e-01,3.981654922648065198e-01
2.461059190031152255e+00,3.961314788115889995e-01,5.943539076321979753e-01
2.408536585365853799e+00,1.398878276175808538e-02,9.884773060457826555e-01
2.358208955223880299e+00,3.413831901720599249e-01,6.699263804817204848e-01
2.309941520467836185e+00,6.840785990057773880e-01,3.002546530108572420e-01
2.263610315186246336e+00,8.053835980896599800e-01,1.951576932662772990e-01
2.219101123595505598e+00,7.694024861186172792e-01,2.567747100650039083e-01
2.176308539944903586e+00,8.994161143984756579e-02,8.979780946348314696e-01
2.135135135135135087e+00,8.703610709631196540e-01,1.114313893235129305e-01
2.095490716180371304e+00,9.788033059468967956e-01,1.693393073547068417e-02
2.057291666666666519e+00,1.001210572147746003e+00,4.062353991281788743e-03
2.020460358056265893e+00,9.968518359561443498e-01,1.228759892156691463e-03
1.984924623115577713e+00,9.987491539047188560e-01,6.613439892092903274e-04
1.950617283950617065e+00,1.000948312575300925e+00,2.900452579362984107e-04
1.917475728155339842e+00,9.991383876090541571e-01,1.286582627913376278e-04
1.885441527446301002e+00,9.999684828663366609e-01,1.033170653250865947e-04
1.854460093896713735e+00,1.000243169024356948e+00,5.515269071988342613e-05
1.824480369515011358e+00,9.996619981016936496e-01,2.954885342276778701e-05
1.795454545454545192e+00,1.000170879410881675e+00,3.040437532285605540e-05
1.767337807606264022e+00,9.999342050775728019e-01,1.774103929558575884e-05
1.740088105726872447e+00,9.998960049029590458e-01,1.106965000810082148e-05
1.713665943600867658e+00,1.000184316597477086e+00,1.354983576448379217e-05
1.688034188034187810e+00,9.997867815771688260e-01,8.243875921579567226e-06
1.663157894736842168e+00,1.000049342566483146e+00,6.005990306359230016e-06
1.639004149377593533e+00,1.000145549154300539e+00,8.293661436896151726e-06
1.615541922290388621e+00,9.997127010943475112e-01,5.153242924486446276e-06
1.592741935483870996e+00,1.000180278726070959e+00,4.452335067727433552e-06
1.570576540755467043e+00,1.000078596479029747e+00,6.638211627878116688e-06
1.549019607843137303e+00,9.996720991539095325e-01,4.198750905119701460e-06
1.528046421663443066e+00,1.000311991715001625e+00,4.367093204909171701e-06
1.507633587786259666e+00,9.999818936902534761e-01,6.804322044885800945e-06
1.487758945386064013e+00,9.996476300032779427e-01,4.444644856837305469e-06
1.468401486988847759e+00,1.000457921900865355e+00,5.625646052675104481e-06
