# meep=1.28.0 res=30.0 period=0.8 cols=freq,T
6.290322580645161255e-01,5.108638697464472633e-01
6.307300509337860905e-01,5.147451641559422919e-01
6.324278438030560556e-01,5.188309731420501780e-01
6.341256366723260207e-01,5.231381489809877605e-01
6.358234295415958748e-01,5.276908944650857691e-01
6.375212224108658399e-01,5.324913749137696328e-01
6.392190152801358050e-01,5.375388688996959319e-01
6.409168081494057700e-01,5.428374315009060203e-01
6.426146010186757351e-01,5.483926576403148623e-01
6.443123938879457002e-01,5.542085651730469520e-01
6.460101867572155543e-01,5.602880566606206481e-01
6.477079796264855194e-01,5.666347472090058623e-01
6.494057724957554845e-01,5.732533281370583156e-01
6.511035653650254496e-01,5.801478514456325231e-01
6.528013582342954146e-01,5.873201584837058897e-01
6.544991511035653797e-01,5.947720177000542785e-01
6.561969439728352338e-01,6.025103583925388584e-01
6.578947368421051989e-01,6.105434789669762496e-01
6.595925297113751640e-01,6.188551435531419731e-01
6.612903225806451291e-01,6.274086899075849155e-01
