# cols=lam_nm,Cabs_um (analytic 2D-Mie, same Au fit)
4.400000000000000000e+02,9.743076328881254689e-02
4.410000000000000000e+02,9.757497273776333246e-02
4.420000000000000000e+02,9.772315669484520073e-02
4.430000000000000000e+02,9.787495105280362429e-02
4.440000000000000000e+02,9.802996532969651677e-02
4.450000000000000000e+02,9.818778131644766149e-02
4.460000000000000000e+02,9.834795179593028291e-02
4.470000000000000000e+02,9.850999935322808654e-02
4.480000000000000000e+02,9.867341529659688637e-02
4.490000000000000000e+02,9.883765870840698076e-02
4.500000000000000000e+02,9.900215564502715115e-02
4.510000000000000000e+02,9.916629850417918446e-02
4.520000000000000000e+02,9.932944557778466965e-02
4.530000000000000000e+02,9.949092080771373969e-02
4.540000000000000000e+02,9.965001376113243048e-02
4.550000000000000000e+02,9.980597984132102973e-02
4.560000000000000000e+02,9.995804074888785251e-02
4.570000000000000000e+02,1.001053852072116834e-01
4.580000000000000000e+02,1.002471699646989983e-01
4.590000000000000000e+02,1.003825210850194799e-01
4.600000000000000000e+02,1.005105355348647617e-01
4.610000000000000000e+02,1.006302830769453538e-01
4.620000000000000000e+02,1.007408084738810050e-01
4.630000000000000000e+02,1.008411340063367773e-01
4.639999999999999432e+02,1.009302623062050264e-01
4.649999999999999432e+02,1.010071795028248121e-01
4.659999999999999432e+02,1.010708586771638939e-01
4.669999999999999432e+02,1.011202636155935641e-01
4.680000000000000000e+02,1.011543528513446089e-01
4.690000000000000000e+02,1.011720839780202996e-01
4.700000000000000000e+02,1.011724182156519547e-01
4.710000000000000000e+02,1.011543252057883618e-01
4.720000000000000000e+02,1.011167880080717368e-01
4.730000000000000000e+02,1.010588082667122078e-01
4.740000000000000000e+02,1.009794115113361868e-01
4.750000000000000000e+02,1.008776525529200135e-01
4.760000000000000000e+02,1.007526209320105948e-01
4.770000000000000000e+02,1.006034463732909945e-01
4.780000000000000000e+02,1.004293041978459033e-01
4.790000000000000000e+02,1.002294206423230555e-01
4.800000000000000000e+02,1.000030780326496282e-01
4.810000000000000000e+02,9.974961975913310130e-02
4.820000000000000000e+02,9.946845499971479487e-02
4.830000000000000000e+02,9.915906313890140988e-02
4.840000000000000000e+02,9.882099783152559214e-02
4.850000000000000000e+02,9.845389066296668379e-02
4.860000000000000000e+02,9.805745436082888289e-02
4.870000000000000000e+02,9.763148551726233415e-02
4.880000000000000000e+02,9.717586678609785311e-02
4.890000000000000000e+02,9.669056852466362262e-02
4.900000000000000000e+02,9.617564985646602504e-02
4.910000000000000000e+02,9.563125913774980780e-02
4.920000000000000000e+02,9.505763381815372781e-02
4.930000000000000000e+02,9.445509969313241327e-02
4.940000000000000000e+02,9.382406955336015930e-02
4.950000000000000000e+02,9.316504124381180807e-02
4.960000000000000000e+02,9.247859515250729523e-02
4.970000000000000000e+02,9.176539115582646455e-02
4.980000000000000000e+02,9.102616505374871991e-02
4.990000000000000000e+02,9.026172453420643060e-02
5.000000000000000000e+02,8.947294471086637835e-02
5.010000000000000000e+02,8.866076328298076736e-02
5.020000000000000000e+02,8.782617536942184666e-02
5.030000000000000000e+02,8.697022807157635260e-02
5.040000000000000000e+02,8.609401482143194673e-02
5.050000000000000000e+02,8.519866957191790657e-02
5.060000000000000000e+02,8.428536088640728452e-02
5.070000000000000000e+02,8.335528598328306726e-02
5.080000000000000000e+02,8.240966478968463071e-02
5.090000000000000000e+02,8.144973405604485905e-02
5.100000000000000000e+02,8.047674157990725163e-02
5.110000000000000000e+02,7.949194058384775885e-02
5.120000000000000000e+02,7.849658428824245193e-02
5.130000000000000000e+02,7.749192071519271641e-02
5.140000000000000000e+02,7.647918775527272339e-02
5.150000000000000000e+02,7.545960852397563812e-02
5.160000000000000000e+02,7.443438702990540223e-02
5.170000000000000000e+02,7.340470417198574626e-02
5.180000000000000000e+02,7.237171407828894842e-02
