# meep=1.28.0 res=160.0 spacer=0.02 cols=width_um,A_peak
1.900000000000000022e-01,7.391417735879258766e-01
2.000000000000000111e-01,7.598793600795403780e-01
2.099999999999999922e-01,7.475652000291086452e-01
