# meep=1.28.0 res=80.0 cols=lam_um,enh_center,enh_max
5.500000000000000444e-01,1.430255170859037750e-01,1.481957212703510496e-01
6.500000000000000222e-01,9.290899849249020237e-01,9.562622078435472073e-01
8.000000000000000444e-01,1.267151623402752669e+00,1.293751009457310142e+00
