# meep=1.28.0 res=160.0 spacer=0.015 cols=wavelength_um,A(w=...)0.19,0.2,0.21
2.500000000000000000e+00,nan,nan,nan
2.392638036809815905e+00,nan,nan,nan
2.294117647058823373e+00,nan,nan,nan
2.203389830508474478e+00,nan,nan,nan
2.119565217391304213e+00,nan,nan,nan
2.041884816753926746e+00,nan,nan,nan
1.969696969696969724e+00,nan,nan,nan
1.902439024390243816e+00,nan,nan,nan
1.839622641509433665e+00,nan,nan,nan
1.780821917808219190e+00,nan,nan,nan
1.725663716814159088e+00,3.442368991002247025e-01,5.008025709763410660e-01,7.947726110764490315e-01
1.673819742489270013e+00,5.108579094098090190e-01,7.336048574232596486e-01,8.756803546421420004e-01
1.625000000000000000e+00,7.263719778108645997e-01,9.023962815024016981e-01,7.440459598680229103e-01
1.578947368421052433e+00,8.828936284494600661e-01,8.617243418295557067e-01,5.554615026609465156e-01
1.535433070866141447e+00,8.459058789362994268e-01,6.843760867878960763e-01,4.076769361668937108e-01
1.494252873563218342e+00,6.745873797061942012e-01,5.053945357306708352e-01,3.068578517847421194e-01
1.455223880597015018e+00,5.004768876454352977e-01,3.733862396083462709e-01,2.387150445417152156e-01
1.418181818181817988e+00,3.702208679958899351e-01,2.831196761899356096e-01,1.915232043862326039e-01
1.382978723404255206e+00,2.805182757545039429e-01,2.215479155827299040e-01,1.579301013035345758e-01
1.349480968858131513e+00,2.193205501352408771e-01,1.787953281366189140e-01,1.334605060711976376e-01
1.317567567567567322e+00,1.769688947603671458e-01,1.484605586264514665e-01,1.153077758235947492e-01
1.287128712871286940e+00,1.470471926930081441e-01,1.264896935692156887e-01,1.016470222914057642e-01
1.258064516129032251e+00,1.254616495323096492e-01,1.102890001394881692e-01,9.125566194299561396e-02
1.230283911671924191e+00,1.095923072354860750e-01,9.816273261299879316e-02,8.329059236359970253e-02
1.203703703703703720e+00,9.773827855914640761e-02,8.898078605645864947e-02,7.716105595226141478e-02
1.178247734138972769e+00,8.877408957957433344e-02,8.197562404522373836e-02,7.244738465035782671e-02
1.153846153846153744e+00,8.193721946007781476e-02,7.661377436508731709e-02,6.884500518434566452e-02
1.130434782608695565e+00,7.669879426407688605e-02,7.251646131907973913e-02,6.612875718663402402e-02
1.107954545454545192e+00,7.268571182447114420e-02,6.941219691659061830e-02,6.413183213021711460e-02
1.086350974930362145e+00,6.963508738898638306e-02,6.711128411053313148e-02,6.273519039249553231e-02
1.065573770491803129e+00,6.736146569512813098e-02,6.549156790281618346e-02,6.185684031267735250e-02
1.045576407506702443e+00,6.573424511862269171e-02,6.452585763764906446e-02,6.144336243546311138e-02
1.026315789473684070e+00,nan,nan,nan
1.007751937984495916e+00,nan,nan,nan
9.898477157360406897e-01,nan,nan,nan
9.725685785536158923e-01,nan,nan,nan
9.558823529411764053e-01,nan,nan,nan
9.397590361445781193e-01,nan,nan,nan
9.241706161137439590e-01,nan,nan,nan
9.090909090909090606e-01,nan,nan,nan
