# meep=1.28.0 res=160.0 spacer=0.015 cols=width_um,A_peak
1.900000000000000022e-01,8.828936284494600661e-01
2.000000000000000111e-01,9.023962815024016981e-01
2.099999999999999922e-01,8.756803546421420004e-01
