# meep=1.28.0 res=24.0 TM r=0.2a eps=11.7 gap: bands 3-4: 0.5698-0.5785 (1.5%)
5.468277592793980846e-01,5.550900970230061571e-01,nan,nan,nan,nan
5.319891453349686605e-01,5.553036860724221979e-01,5.698167405541921804e-01,nan,nan,nan
8.080970339443302453e-02,5.133064013297501393e-01,5.559137592107310510e-01,5.882710866697830054e-01,nan,nan
1.195919245809370923e-01,4.939687527659387123e-01,5.568319155145189381e-01,6.075883964811136240e-01,nan,nan
1.562054327293928846e-01,4.742575730663941003e-01,5.579230248773152656e-01,6.280521185837398823e-01,nan,nan
1.894441378365518125e-01,4.548181284418081893e-01,5.590231043382225540e-01,6.499158517026287774e-01,nan,nan
2.174078865904923441e-01,4.370786381685882183e-01,5.599629214407391142e-01,nan,nan,nan
2.370214703432953762e-01,4.237530113330884030e-01,5.605946598004976078e-01,nan,nan,nan
2.442814343220857942e-01,4.186153446872425410e-01,5.608171815006186556e-01,nan,nan,nan
2.456566560173294167e-01,4.212132664310865859e-01,5.581373732664665077e-01,nan,nan,nan
2.496149439060674768e-01,4.287376466625692495e-01,5.507774546895565226e-01,nan,nan,nan
2.556686887930370022e-01,4.403955618063237765e-01,5.403321228514176289e-01,nan,nan,nan
2.630459281952843842e-01,4.548975995514103476e-01,5.285855933883534252e-01,nan,nan,nan
2.707366005808697351e-01,4.704591033912063902e-01,5.171823069286402008e-01,nan,nan,nan
2.775603160501716182e-01,4.847746283838736403e-01,5.076105061894509163e-01,nan,nan,nan
2.823081880353852657e-01,4.951139623407381785e-01,5.011949500189717410e-01,nan,nan,nan
2.840164598569112631e-01,4.989294885904802523e-01,nan,nan,nan,nan
2.804072867592570795e-01,4.939418617872742834e-01,5.011295280027679988e-01,nan,nan,nan
2.682606933250514802e-01,4.836381331704119324e-01,5.073713903384968749e-01,nan,nan,nan
2.449912587492676097e-01,4.765712075448955143e-01,5.166460213166008675e-01,nan,nan,nan
2.098062404019103711e-01,4.778264409101448118e-01,5.274749671058575062e-01,nan,nan,nan
1.647835915706159227e-01,4.877051524703291951e-01,5.381699449968944116e-01,6.356140396809609738e-01,nan,nan
1.130765088147848568e-01,5.043412817326713427e-01,5.471179092983579073e-01,6.068876598301031766e-01,nan,nan
5.743498050863645593e-02,5.257194308062003163e-01,5.530285862144391773e-01,5.784873081772305969e-01,nan,nan
