# meep=1.28.0 res=30.0 cols=freq,R,T
2.999999999999999889e-01,6.936097547232887572e-02,9.308256374669025002e-01
3.067796610169491456e-01,1.957977851044098994e-01,8.044602225478209023e-01
3.135593220338983023e-01,3.308489080356299405e-01,6.693953337600326847e-01
3.203389830508474034e-01,4.462657834934005141e-01,5.539013745083266604e-01
3.271186440677965601e-01,5.351401992839236454e-01,4.649271828067063073e-01
3.338983050847457168e-01,6.000990302038187174e-01,3.998950411958605011e-01
3.406779661016948735e-01,6.459303124946549346e-01,3.540324936385732535e-01
3.474576271186440302e-01,6.768499367002928091e-01,3.231090204811605804e-01
3.542372881355931868e-01,6.958803334549360509e-01,3.040838756755681049e-01
3.610169491525423435e-01,7.048910564648994681e-01,2.950745073821977593e-01
3.677966101694915002e-01,7.047721784682349222e-01,2.952135557381651565e-01
3.745762711864406569e-01,6.954910742325444151e-01,3.044995822064164859e-01
3.813559322033898136e-01,6.761423129915102859e-01,3.238571394805076498e-01
3.881355932203389703e-01,6.448100232048770142e-01,3.551925865826455198e-01
3.949152542372881269e-01,5.984385629723018019e-01,4.015696665257013631e-01
4.016949152542372836e-01,5.327646851541855133e-01,4.672439794513827405e-01
4.084745762711864403e-01,4.430092796977528891e-01,5.569954430806400847e-01
4.152542372881355970e-01,3.267163193328253556e-01,6.732821989346405855e-01
4.220338983050847537e-01,1.913047607757298596e-01,8.086866847148904691e-01
4.288135593220339103e-01,6.594181078447197697e-02,9.340515754191465181e-01
4.355932203389830670e-01,1.547901857029272384e-03,9.984514726136806129e-01
4.423728813559322237e-01,3.403834476952770360e-02,9.659621123535051535e-01
4.491525423728813804e-01,1.442775369050565692e-01,8.557236855359897643e-01
4.559322033898305371e-01,2.805588175675152174e-01,7.194447087430047016e-01
4.627118644067796938e-01,4.047709551134553441e-01,5.952307841823253343e-01
4.694915254237287949e-01,5.033582751514416032e-01,4.966415579821344406e-01
4.762711864406779516e-01,5.765298253240465076e-01,4.234710052741275654e-01
4.830508474576271083e-01,6.287344831249886967e-01,3.712666870864568258e-01
4.898305084745762650e-01,6.645122970486921909e-01,3.354876653253704988e-01
4.966101694915254217e-01,6.873236550446593096e-01,3.126795006133341048e-01
5.033898305084745228e-01,6.994134679379585551e-01,3.005883858163573286e-01
5.101694915254237905e-01,7.019747166233915037e-01,2.980252148552116620e-01
5.169491525423728362e-01,6.952592289012310411e-01,3.047399675861964807e-01
5.237288135593219929e-01,6.786025641054089785e-01,3.213966692903222344e-01
5.305084745762711496e-01,6.503510354232203694e-01,3.496473611056923891e-01
5.372881355932203062e-01,6.077201966440788361e-01,3.922781600170238137e-01
5.440677966101694629e-01,5.467076803610049218e-01,4.532908966004778328e-01
5.508474576271186196e-01,4.625369742078824231e-01,5.374618821997506624e-01
5.576271186440677763e-01,3.518650360854177483e-01,6.481338596946562003e-01
5.644067796610169330e-01,2.191729938277089118e-01,7.808253547927412885e-01
5.711864406779660897e-01,8.831165734231057052e-02,9.116857100046713569e-01
5.779661016949152463e-01,7.328278209525126985e-03,9.926687124655105832e-01
5.847457627118644030e-01,1.953251893389709032e-02,9.804653390902660082e-01
5.915254237288135597e-01,1.175276044064762215e-01,8.824711302228058774e-01
5.983050847457627164e-01,2.520422452232027877e-01,7.479558850599348219e-01
6.050847457627118731e-01,3.800870315515667008e-01,6.199096408501663102e-01
6.118644067796610297e-01,4.837595485586813626e-01,5.162371899092503824e-01
6.186440677966101864e-01,5.614115813595932369e-01,4.385889854780414265e-01
6.254237288135593431e-01,6.170838658626495166e-01,3.829248362614653400e-01
6.322033898305084998e-01,6.554211207782616455e-01,3.445981012056955617e-01
6.389830508474576565e-01,6.800837783787294644e-01,3.199440042150778485e-01
6.457627118644068132e-01,6.935064342005645699e-01,3.065221405496899587e-01
6.525423728813559698e-01,6.970135403515463901e-01,3.030028716185175774e-01
6.593220338983051265e-01,6.909467082941481708e-01,3.090428927894828259e-01
6.661016949152542832e-01,6.747022399829177841e-01,3.252493443349419588e-01
6.728813559322033289e-01,6.466628648850596406e-01,3.532476603154028338e-01
6.796610169491525966e-01,6.040627392853724631e-01,3.958201776191084265e-01
6.864406779661016422e-01,5.429292498163683645e-01,4.569731582535873082e-01
6.932203389830509099e-01,4.585519075447672122e-01,5.414569942322278173e-01
6.999999999999999556e-01,3.477273832248121699e-01,6.524657461947711568e-01
