# ntasks,wall_s,speedup,efficiency | W1 res40 Jobs1171/1172/1173 meep1.28.0 pmix
1.000000000000000000e+00,2.110000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.810000000000000000e+02,1.165745856353591181e+00,5.828729281767955905e-01
4.000000000000000000e+00,8.400000000000000000e+01,2.511904761904761862e+00,6.279761904761904656e-01
